date	democrat	republican
20120101	1	9
20120102	1	1
20120103	4	
20120104	12	1
20120105	8	2
20120106	20	2
20120107	1	
20120108		
20120109	5	3
20120110	15	3
20120111	14	1
20120112	8	7
20120113	12	5
20120114		1
20120115	2	
20120116	3	
20120117	6	1
20120118	20	8
20120119	16	3
20120120	15	9
20120121	1	
20120122	5	1
20120123	15	5
20120124	36	14
20120125	25	10
20120126	12	4
20120127	12	7
20120128	1	
20120129	1	2
20120130	7	2
20120201	34	22
20120202	31	7
20120203	29	15
20120204		1
20120205	2	
20120206	18	9
20120207	33	9
20120208	27	6
20120209	36	9
20120210	16	8
20120211	3	
20120212	2	
20120213	20	7
20120214	14	4
20120215	13	7
20120216	22	12
20120217	21	10
20120218		
20120219		
20120220		1
20120221	8	4
20120222	15	5
20120223	14	4
20120224	6	2
20120225	1	
20120226	1	
20120227	7	1
20120228	24	8
20120229	26	14
20120301	33	12
20120302	11	11
20120303	3	1
20120304		
20120305	7	3
20120306	30	11
20120307	18	5
20120308	25	10
20120309	16	11
20120310	1	
20120311	1	1
20120312	12	2
20120313	10	4
20120314	19	3
20120315	10	4
20120316	11	6
20120317	1	
20120318		
20120319	12	
20120320	22	5
20120321	21	3
20120322	19	7
20120323	29	7
20120324		
20120325		
20120326	15	3
20120327	23	7
20120328	31	6
20120329	40	12
20120330	18	9
20120401	1	1
20120402	8	2
20120403	12	1
20120404	10	6
20120405	3	4
20120406	9	2
20120407		1
20120408		
20120409	9	
20120410	9	
20120411	11	1
20120412	10	3
20120413	10	3
20120414	1	1
20120415	1	
20120416	18	1
20120417	23	5
20120418	24	5
20120419	17	8
20120420	22	7
20120421	3	
20120422	3	1
20120423	11	4
20120424	20	3
20120425	21	4
20120426	35	5
20120427	32	15
20120428	3	
20120429	1	
20120430	14	4
20120501	18	8
20120502	16	5
20120503	16	2
20120504	19	6
20120505	3	
20120506		
20120507	19	6
20120508	24	2
20120509	35	8
20120510	38	5
20120511	12	7
20120512	1	
20120513	2	
20120514	12	2
20120515	13	7
20120516	39	7
20120517	33	6
20120518	30	10
20120519	1	1
20120520		
20120521	12	4
20120522	16	6
20120523	12	3
20120524	17	4
20120525	15	5
20120526		
20120527	1	
20120528	2	1
20120529	10	2
20120530	21	4
20120601	28	11
20120602		1
20120603	1	
20120604	12	2
20120605	19	5
20120606	21	3
20120607	14	6
20120608	15	11
20120609	1	
20120610	2	
20120611	13	5
20120612	10	1
20120613	7	3
20120614	18	4
20120615	41	7
20120616	6	
20120617	3	
20120618	9	4
20120619	26	7
20120620	21	5
20120621	23	6
20120622	12	5
20120623	2	1
20120624		1
20120625	28	12
20120626	9	2
20120627	20	11
20120628	50	19
20120629	36	12
20120630	1	
20120701	3	2
20120702	11	2
20120703	9	1
20120704	3	1
20120705	4	
20120706	12	4
20120707		
20120708		1
20120709	5	5
20120710	19	5
20120711	31	7
20120712	15	3
20120713	10	7
20120714		
20120715		
20120716	7	3
20120717	16	5
20120718	20	5
20120719	29	8
20120720	20	6
20120721		
20120722	2	
20120723	10	3
20120724	14	3
20120725	27	4
20120726	20	6
20120727	9	8
20120728		2
20120729	1	
20120730	10	3
20120801	40	11
20120802	24	8
20120803	35	10
20120804		
20120805	1	3
20120806	15	6
20120807	11	3
20120808	5	
20120809	9	
20120810	6	2
20120811	2	
20120812		
20120813	5	3
20120814	13	1
20120815	11	1
20120816	9	1
20120817	7	2
20120818		
20120819		
20120820	9	1
20120821		2
20120822	9	4
20120823	9	2
20120824	9	
20120825	2	
20120826	2	
20120827	15	2
20120828	17	2
20120829	5	1
20120830	7	3
20120901	2	1
20120902	1	
20120903		
20120904	4	5
20120905	7	2
20120906	5	1
20120907	6	6
20120908		
20120909	1	
20120910	7	2
20120911	25	10
20120912	35	11
20120913	31	9
20120914	15	14
20120915		
20120916		
20120917	14	5
20120918	11	3
20120919	18	6
20120920	16	2
20120921	30	13
20120922		
20120923	1	
20120924	12	1
20120925	14	1
20120926	5	3
20120927	23	2
20120928	9	7
20120929	1	
20120930	1	
20121001	14	6
20121002	19	5
20121003	3	1
20121004	17	2
20121005	12	3
20121006		
20121007	1	
20121008	8	
20121009	12	1
20121010	10	3
20121011	10	3
20121012	13	2
20121013	1	1
20121014	1	
20121015	11	3
20121016	10	1
20121017	8	
20121018	7	4
20121019	6	2
20121020		
20121021	1	1
20121022	5	2
20121023	8	3
20121024	12	2
20121025	8	2
20121026	6	4
20121027		1
20121028	3	
20121029		
20121030	4	1
20121101	2	3
20121102	7	3
20121103	1	
20121104		
20121105	2	1
20121106	2	1
20121107	12	2
20121108	2	1
20121109	12	3
20121110	1	
20121111	4	1
20121112	1	1
20121113	8	4
20121114	8	5
20121115	11	9
20121116	19	4
20121117	2	
20121118		1
20121119	5	1
20121120	7	3
20121121	4	2
20121122	1	
20121123		
20121124		
20121125	1	
20121126	6	1
20121127	9	1
20121128	23	2
20121129	22	3
20121130	21	6
