"movie","break_even","earnings_ratio","budget_raw","worldwide_gross","production_budget","even"
"Avatar",1,6.55,425000000,"$2,783,918,982","$425,000,000","Made money"
"Pirates of the Caribbean: At World's End",1,3.2,300000000,"$960,996,492","$300,000,000","Made money"
"The Dark Knight Rises",1,3.92,275000000,"$1,079,343,943","$275,000,000","Made money"
"The Lone Ranger",0,0.95,275000000,"$259,989,910","$275,000,000","Lost money"
"John Carter",1,1.03,275000000,"$282,778,100","$275,000,000","Made money"
"Tangled",1,2.26,260000000,"$586,581,936","$260,000,000","Made money"
"Spider-Man 3",1,3.45,258000000,"$890,875,303","$258,000,000","Made money"
"The Hobbit: An Unexpected Journey",1,4.06,250000000,"$1,014,703,568","$250,000,000","Made money"
"Harry Potter and the Half-Blood Prince",1,3.74,250000000,"$934,416,487","$250,000,000","Made money"
"The Hobbit: The Desolation of Smaug",1,3.8,250000000,"$950,466,855","$250,000,000","Made money"
"Pirates of the Caribbean: On Stranger Tides",1,4.17,250000000,"$1,043,663,875","$250,000,000","Made money"
"Superman Returns",1,1.68,232000000,"$390,874,000","$232,000,000","Made money"
"Quantum of Solace",1,2.57,230000000,"$591,692,078","$230,000,000","Made money"
"Marvel's The Avengers",1,6.73,225000000,"$1,514,279,547","$225,000,000","Made money"
"Pirates of the Caribbean: Dead Man's Chest",1,4.71,225000000,"$1,060,615,812","$225,000,000","Made money"
"Man of Steel",1,2.97,225000000,"$667,999,518","$225,000,000","Made money"
"The Chronicles of Narnia: Prince Caspian",1,1.86,225000000,"$419,490,286","$225,000,000","Made money"
"The Amazing Spider-Man",1,3.44,220000000,"$757,890,267","$220,000,000","Made money"
"Men in Black 3",1,2.91,215000000,"$624,821,154","$215,000,000","Made money"
"Transformers: Revenge of the Fallen",1,3.98,210000000,"$836,519,699","$210,000,000","Made money"
"X-Men: The Last Stand",1,2.19,210000000,"$459,359,555","$210,000,000","Made money"
"Robin Hood",1,1.54,210000000,"$322,459,006","$210,000,000","Made money"
"Battleship",1,1.46,209000000,"$304,142,720","$209,000,000","Made money"
"King Kong",1,2.66,207000000,"$550,517,357","$207,000,000","Made money"
"The Golden Compass",1,1.82,205000000,"$372,234,864","$205,000,000","Made money"
"Titanic",1,10.93,200000000,"$2,185,672,302","$200,000,000","Made money"
"Toy Story 3",1,5.32,200000000,"$1,063,759,456","$200,000,000","Made money"
"Iron Man 3",1,6.06,200000000,"$1,212,692,272","$200,000,000","Made money"
"Spider-Man 2",1,3.92,200000000,"$783,705,001","$200,000,000","Made money"
"Alice in Wonderland",1,5.12,200000000,"$1,024,391,110","$200,000,000","Made money"
"Skyfall",1,5.54,200000000,"$1,108,694,081","$200,000,000","Made money"
"Oz the Great and Powerful",1,2.45,200000000,"$489,570,996","$200,000,000","Made money"
"Cars 2",1,2.8,200000000,"$560,155,383","$200,000,000","Made money"
"Tron: Legacy",1,1.99,200000000,"$397,562,763","$200,000,000","Made money"
"2012",1,3.94,200000000,"$788,408,539","$200,000,000","Made money"
"Terminator Salvation: The Future Begins",1,1.86,200000000,"$371,628,539","$200,000,000","Made money"
"Green Lantern",1,1.16,200000000,"$231,201,172","$200,000,000","Made money"
"Prince of Persia: Sands of Time",1,1.68,200000000,"$335,059,676","$200,000,000","Made money"
"Transformers: Dark of the Moon",1,5.76,195000000,"$1,123,794,076","$195,000,000","Made money"
"Jack the Giant Slayer",1,1.01,195000000,"$197,387,603","$195,000,000","Made money"
"Star Trek Into Darkness",1,2.46,190000000,"$466,978,661","$190,000,000","Made money"
"World War Z",1,2.84,190000000,"$539,559,711","$190,000,000","Made money"
"The Great Gatsby",1,1.85,190000000,"$351,040,419","$190,000,000","Made money"
"Disney's A Christmas Carol",1,1.7,190000000,"$323,743,744","$190,000,000","Made money"
"Pacific Rim",1,2.16,190000000,"$411,002,906","$190,000,000","Made money"
"Iron Man",1,3.13,186000000,"$582,443,126","$186,000,000","Made money"
"The Dark Knight",1,5.42,185000000,"$1,002,891,358","$185,000,000","Made money"
"Indiana Jones and the Kingdom of the Crystal Skull",1,4.25,185000000,"$786,558,145","$185,000,000","Made money"
"Brave",1,3,185000000,"$554,606,532","$185,000,000","Made money"
