"Rank","City","Pop","Year","State"
"1.","Boston","4.5",1680,""
"2.","New York","3.0",1680,""
"3.","Newport","2.5",1680,"RI"
"4.","Charleston","0.7",1680,""
"1.","Boston","6.7",1700,""
"2.","New York","5.0",1700,""
"3.","Philadelphia","5.0",1700,""
"4.","Newport","2.6",1700,"RI"
"1.","Boston","12",1720,""
"2.","Philadelphia","10",1720,""
"3.","New York","7",1720,""
"4.","Newport","3.8",1720,"RI"
"1.","Boston","16.4",1740,""
"2.","Philadelphia","13.0",1740,""
"3.","New York","11.0",1740,""
"4.","Charleston","6.8",1740,""
"1.","Philadelphia","23.8",1740,""
"2.","New York","18.0",1740,""
"3.","Boston","15.6",1740,""
"4.","Charleston","8.0",1740,""
"1.","Philadelphia","40",1775,""
"2.","New York","25",1775,""
"3.","Boston","16",1775,""
"4.","Charleston","12",1775,""
"1.","Philadelphia","44.1",1790,""
"2.","New York","33.1",1790,""
"3.","Boston","18.3",1790,""
"4.","Charleston","16.4",1790,""
"5.","Salem","13.6",1790,"MA"
"6.","Baltimore","13.5",1790,""
"7.","Newport","6.7",1790,"RI"
"8.","Providence","6.4",1790,""
"9.","Gloucester","5.3",1790,"MA"
"10.","Newburyport","4.8",1790,"MA"
"11.","Portsmouth","4.7",1790,"NH"
"12.","Nantucket","4.6",1790,""
"13.","Middleborough","4.5",1790,"MA"
"14.","New Haven","4.5",1790,""
"15.","Richmond","3.8",1790,""
"16.","Albany","3.5",1790,""
"17.","Norfolk","3.0",1790,""
"18.","Petersburg","2.8",1790,"VA"
"19.","Alexandria","2.8",1790,"VA"
"20.","Hartford","2.7",1790,""
"1.","Philadelphia","61.6",1800,""
"2.","New York","60.5",1800,""
"3.","Baltimore","26.5",1800,""
"4.","Boston","24.9",1800,""
"5.","Charleston","18.8",1800,""
"6.","Salem","14.7",1800,"MA"
"7.","Washington","11.2",1800,""
"8.","Providence","7.6",1800,""
"9.","Norfolk","6.9",1800,""
"10.","Newport","6.7",1800,"RI"
"11.","Newburyport","6.0",1800,"MA"
"12.","Richmond","5.7",1800,""
"13.","Nantucket","5.6",1800,""
"14.","Portsmouth","5.3",1800,"NH"
"15.","Gloucester","5.3",1800,"MA"
"16.","Schenectady","5.3",1800,"NY"
"17.","Albany","5.3",1800,""
"18.","New London","5.2",1800,"CT"
"19.","Savannah","5.2",1800,""
"20.","Middleborough","4.5",1800,"MA"
"1.","New York","101",1810,""
"2.","Philadelphia","87.3",1810,""
"3.","Baltimore","46.6",1810,""
"4.","Boston","38.7",1810,""
"5.","Charleston","24.7",1810,""
"6.","Salem","23.1",1810,"MA"
"7.","Washington","20.4",1810,""
"8.","New Orleans","17.2",1810,""
"9.","Albany","10.8",1810,""
"10.","Providence","10.1",1810,""
"11.","Richmond","9.7",1810,""
"12.","Norfolk","9.2",1810,""
"13.","Newport","7.9",1810,"RI"
"14.","Newburyport","7.6",1810,"MA"
"15.","Portland","7.2",1810,"ME"
"16.","Portsmouth","6.9",1810,"NH"
"17.","Nantucket","6.8",1810,""
"18.","Gloucester","5.9",1810,"MA"
"19.","Schenectady","5.9",1810,"NY"
"20.","New Haven","5.8",1810,""
"1.","New York","131",1820,""
"2.","Philadelphia","109",1820,""
"3.","Baltimore","62.7",1820,""
"4.","Boston","54.0",1820,""
"5.","Washington","28.8",1820,""
"6.","New Orleans","27.2",1820,""
"7.","Charleston","24.8",1820,""
"8.","Salem","22.6",1820,"MA"
"9.","Albany","17.9",1820,""
"10.","Richmond","12.1",1820,""
"11.","Providence","11.8",1820,""
"12.","Cincinnati","9.6",1820,""
"13.","Portland","8.6",1820,"ME"
"14.","Norfolk","8.5",1820,""
"15.","Savannah","7.5",1820,""
"16.","Portsmouth","7.3",1820,"NH"
"17.","Newport","7.3",1820,"RI"
"18.","Nantucket","7.3",1820,""
"19.","Pittsburgh","7.3",1820,""
"20.","New Haven","7.2",1820,""
"1.","New York","215",1830,""
"2.","Philadelphia","161",1830,""
"3.","Boston","85.6",1830,""
"4.","Baltimore","80.6",1830,""
"5.","New Orleans","46.1",1830,""
"6.","Albany","35.8",1830,""
"7.","Washington","35.5",1830,""
"8.","Charleston","30.3",1830,""
"9.","Salem","27.3",1830,"MA"
"10.","Cincinnati","24.8",1830,""
"11.","Providence","22.4",1830,""
"12.","Richmond","16.1",1830,""
"13.","Pittsburgh","15.4",1830,""
"14.","Newark","14.4",1830,""
"15.","Portland","12.6",1830,"ME"
"16.","Louisville","10.3",1830,""
"17.","New Haven","10.2",1830,""
"18.","Norfolk","9.8",1830,""
"19.","Rochester","9.2",1830,""
"20.","Buffalo","8.7",1830,""
"1.","New York","374",1840,""
