"","Origin","OriginCity","OriginState","OriginCountry","OriginLat","OriginLong","Dest","DestCity","DestState","DestCountry","DestLat","DestLong","NumOfFlights","AvgArrDelay15","AvgDepDelay15"
"1","ATL","Atlanta","GA","USA",33.64044444,-84.42694444,"ABE","Allentown","PA","USA",40.65236278,-75.44040167,15,61.8947368421053,65.6101694915254
"2","CLE","Cleveland","OH","USA",41.41089417,-81.84939667,"ABE","Allentown","PA","USA",40.65236278,-75.44040167,15,53.2990654205607,53.8064516129032
"3","CLT","Charlotte","NC","USA",35.21401111,-80.94312583,"ABE","Allentown","PA","USA",40.65236278,-75.44040167,11,39.2826086956522,48.2909090909091
"4","CVG","Covington","KY","USA",39.04614278,-84.6621725,"ABE","Allentown","PA","USA",40.65236278,-75.44040167,5,56.5952380952381,55.4545454545455
"5","DTW","Detroit","MI","USA",42.21205889,-83.34883583,"ABE","Allentown","PA","USA",40.65236278,-75.44040167,3,55.9941520467836,56.15
"6","ORD","Chicago","IL","USA",41.979595,-87.90446417,"ABE","Allentown","PA","USA",40.65236278,-75.44040167,50,74.2174887892377,73.9723502304147
"7","DFW","Dallas-Fort Worth","TX","USA",32.89595056,-97.0372,"ABI","Abilene","TX","USA",32.41132,-99.68189722,11,52.1758436944938,49.4654867256637
"8","AMA","Amarillo","TX","USA",35.2193725,-101.7059272,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,23,76.8,69
"9","ATL","Atlanta","GA","USA",33.64044444,-84.42694444,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,25,50.9298245614035,51.7025862068966
"10","AUS","Austin","TX","USA",30.19453278,-97.66987194,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,2,49.327868852459,53.4285714285714
"11","BWI","Baltimore","MD","USA",39.17540167,-76.66819833,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,34,41.6280991735537,40.7317073170732
"12","CLE","Cleveland","OH","USA",41.41089417,-81.84939667,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,1,59.6666666666667,53.3333333333333
"13","CVG","Covington","KY","USA",39.04614278,-84.6621725,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,5,59.5263157894737,73.4230769230769
"14","DAL","Dallas","TX","USA",32.84711389,-96.85177222,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,161,49.5916955017301,48.2741433021807
"15","DEN","Denver","CO","USA",39.85840806,-104.6670019,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,133,51.0391459074733,52.6128608923885
"16","DFW","Dallas-Fort Worth","TX","USA",32.89595056,-97.0372,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,14,51.1159830268741,53.0257234726688
"17","ELP","El Paso","TX","USA",31.80666667,-106.3778056,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,47,46.2753623188406,45.8860759493671
"18","EWR","Newark","NJ","USA",40.69249722,-74.16866056,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,1,92.2828282828283,93.3837209302326
"19","HOU","Houston","TX","USA",29.64541861,-95.27888889,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,49,49.0606060606061,48.3523131672598
"20","IAD","Chantilly","VA","USA",38.94453194,-77.45580972,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,2,59.6559139784946,58.6785714285714
"21","IAH","Houston","TX","USA",29.98047222,-95.33972222,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,64,52.8519313304721,55.3679775280899
"22","LAS","Las Vegas","NV","USA",36.08036111,-115.1523333,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,116,50.8263888888889,48.4087452471483
"23","LAX","Los Angeles","CA","USA",33.94253611,-118.4080744,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,74,47.9051282051282,47.1810344827586
"24","LBB","Lubbock","TX","USA",33.66363889,-101.8227778,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,24,49.4711538461538,50.2156862745098
"25","MAF","Midland","TX","USA",31.94252778,-102.2019139,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,20,65.5555555555556,72
"26","MCI","Kansas City","MO","USA",39.29760528,-94.71390556,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,34,55.4873949579832,53.6854838709677
"27","MCO","Orlando","FL","USA",28.42888889,-81.31602778,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,40,38.3636363636364,34.3083333333333
"28","MDW","Chicago","IL","USA",41.7859825,-87.75242444,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,43,63.7571428571429,60.4295774647887
"29","MSP","Minneapolis","MN","USA",44.88054694,-93.2169225,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,4,42.3788819875776,45.1734693877551
"30","OAK","Oakland","CA","USA",37.72129083,-122.2207167,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,43,45.2554744525547,43.0628571428571
"31","OKC","Oklahoma City","OK","USA",35.39308833,-97.60073389,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,2,49.8181818181818,61.75
"32","ONT","Ontario","CA","USA",34.056,-117.6011944,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,2,46.8395061728395,47.7837837837838
"33","ORD","Chicago","IL","USA",41.979595,-87.90446417,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,18,71.7931034482759,73.3857142857143
"34","PDX","Portland","OR","USA",45.58872222,-122.5975,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,18,44.3333333333333,46.4166666666667
"35","PHX","Phoenix","AZ","USA",33.43416667,-112.0080556,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,178,45.924965893588,45.3279301745636
"36","SAN","San Diego","CA","USA",32.73355611,-117.1896567,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,54,47.5432098765432,48.4607843137255
"37","SAT","San Antonio","TX","USA",29.53369444,-98.46977778,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,4,49.2115384615385,54.304347826087
"38","SEA","Seattle","WA","USA",47.44898194,-122.3093131,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,41,45.2135922330097,44.5669291338583
"39","SFO","San Francisco","CA","USA",37.61900194,-122.3748433,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,7,65.9015544041451,66.7083333333333
"40","SLC","Salt Lake City","UT","USA",40.78838778,-111.9777731,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,94,45.3096085409253,44.7003484320557
"41","SMF","Sacramento","CA","USA",38.69542167,-121.5907669,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,2,52.3943661971831,51.625
"42","STL","St Louis","MO","USA",38.74768694,-90.35998972,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,20,51.4230769230769,48.1758241758242
"43","TPA","Tampa","FL","USA",27.97547222,-82.53325,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,22,46.8045977011494,48.9891304347826
"44","TUL","Tulsa","OK","USA",36.19837222,-95.88824167,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,1,90.2105263157895,105.9375
"45","TUS","Tucson","AZ","USA",32.11608333,-110.9410278,"ABQ","Albuquerque","NM","USA",35.04022222,-106.6091944,38,47.8139534883721,49.3068181818182
"46","ATL","Atlanta","GA","USA",33.64044444,-84.42694444,"ABY","Albany","GA","USA",31.535515,-84.19447333,24,55.8664259927798,59.4887892376682
"47","EWR","Newark","NJ","USA",40.69249722,-74.16866056,"ACK","Nantucket","MA","USA",41.25305194,-70.06018139,3,65.5185185185185,78.6901408450704
"48","JFK","New York","NY","USA",40.63975111,-73.77892556,"ACK","Nantucket","MA","USA",41.25305194,-70.06018139,13,61.1538461538462,65.5454545454545
