Key	Latitude	Longitude	FIPScode	TZ	Population
Umm al Qaywayn, United Arab Emirates	25.564730	55.555170	07	Asia/Dubai	44411
Ra's al Khaymah, United Arab Emirates	25.789530	55.943200	05	Asia/Dubai	115949
Muzayri`, United Arab Emirates	23.143550	53.788100	01	Asia/Dubai	10000
Khawr Fakkan, United Arab Emirates	25.331320	56.341990	06	Asia/Dubai	33575
Dubai, United Arab Emirates	25.258170	55.304720	03	Asia/Dubai	1137347
Diba, United Arab Emirates	25.619550	56.272910	06	Asia/Dubai	26395
Sharjah, United Arab Emirates	25.337370	55.412060	06	Asia/Dubai	543733
Ar Ruways, United Arab Emirates	24.110280	52.730560	01	Asia/Dubai	16000
Al Fujayrah, United Arab Emirates	25.116410	56.341410	04	Asia/Dubai	62415
Al Ain, United Arab Emirates	24.191670	55.760560	01	Asia/Dubai	408733
Ajman, United Arab Emirates	25.411110	55.435040	02	Asia/Dubai	226172
Adh Dhayd, United Arab Emirates	25.288120	55.881570	06	Asia/Dubai	24716
Abu Dhabi, United Arab Emirates	24.466670	54.366670	01	Asia/Dubai	603492
Zorkot, Afghanistan	33.541490	69.734460	37	Asia/Kabul	0
Wuleswali Bihsud, Afghanistan	34.343600	67.905670	27	Asia/Kabul	0
Kuhsan, Afghanistan	34.653890	61.197780	11	Asia/Kabul	12087
Lash, Afghanistan	35.378200	64.774570	07	Asia/Kabul	0
Tukzar, Afghanistan	35.948310	66.421320	33	Asia/Kabul	12021
Miray, Afghanistan	33.324620	68.440680	08	Asia/Kabul	0
Aq Kupruk, Afghanistan	36.083520	66.840290	30	Asia/Kabul	0
Zurmat, Afghanistan	33.437780	69.027740	36	Asia/Kabul	0
Zaybak, Afghanistan	36.529440	71.348330	01	Asia/Kabul	0
Ziarat-e Shah Maqsud, Afghanistan	31.984800	65.473600	23	Asia/Kabul	0
Zindah Jan, Afghanistan	34.342640	61.746750	11	Asia/Kabul	10104
Zarghun Shahr, Afghanistan	32.847340	68.445730	29	Asia/Kabul	13737
Zarah Sharan, Afghanistan	33.146670	68.791670	29	Asia/Kabul	7366
Zaranj, Afghanistan	30.966670	61.883330	19	Asia/Kabul	0
Zamto Kelay, Afghanistan	32.372600	66.177080	23	Asia/Kabul	0
Yangi Qal`ah, Afghanistan	37.465720	69.611310	26	Asia/Kabul	6541
Yahya Khel, Afghanistan	32.937420	68.646220	29	Asia/Kabul	0
Washer, Afghanistan	32.251220	63.855530	10	Asia/Kabul	0
Tormay, Afghanistan	33.688470	68.402040	08	Asia/Kabul	0
Tulak, Afghanistan	33.975090	63.728680	09	Asia/Kabul	0
Titan, Afghanistan	33.690320	63.863610	09	Asia/Kabul	0
Tir Pul, Afghanistan	34.594310	61.268950	11	Asia/Kabul	6979
Taywarah, Afghanistan	33.521180	64.421160	09	Asia/Kabul	0
Bazar-e Tashkan, Afghanistan	36.881680	70.276740	01	Asia/Kabul	0
Tarinkot, Afghanistan	32.629980	65.878060	39	Asia/Kabul	0
Taloqan, Afghanistan	36.736050	69.534510	26	Asia/Kabul	64256
Tagaw-Bay, Afghanistan	35.699410	66.061640	33	Asia/Kabul	9096
Tagab, Afghanistan	34.855010	69.649170	14	Asia/Kabul	6400
Markaz-e Hukumat-e Sultan-e Bakwah, Afghanistan	32.241390	62.949360	06	Asia/Kabul	0
Spin Boldak, Afghanistan	31.005750	66.400010	23	Asia/Kabul	0
Sperah, Afghanistan	33.202220	69.515280	37	Asia/Kabul	0
Sozmah Qal`ah, Afghanistan	36.099160	66.208230	33	Asia/Kabul	0
Siyahgird, Afghanistan	35.005530	68.855780	40	Asia/Kabul	0
Sheywah, Afghanistan	34.571690	70.588590	18	Asia/Kabul	0
Shindand, Afghanistan	33.302940	62.147400	11	Asia/Kabul	29264
Shaykh Amir Kelay, Afghanistan	33.287440	69.912830	37	Asia/Kabul	0
Qashqal, Afghanistan	35.039750	69.006850	40	Asia/Kabul	0
Shibirghan, Afghanistan	36.667570	65.752900	31	Asia/Kabul	55641
Shwak, Afghanistan	33.423860	69.376840	36	Asia/Kabul	0
Shahr-e Safa, Afghanistan	31.803470	66.323760	28	Asia/Kabul	0
Shahran, Afghanistan	36.979840	70.739280	01	Asia/Kabul	0
Shahrak, Afghanistan	34.107380	64.305200	09	Asia/Kabul	15967
`Alaqahdari Shah Joy, Afghanistan	32.521540	67.413150	28	Asia/Kabul	0
Wuleswali Sayyid Karam, Afghanistan	33.690560	69.368810	36	Asia/Kabul	0
Markaz-e Sayyidabad, Afghanistan	34.000370	68.713460	27	Asia/Kabul	0
Sayad, Afghanistan	36.135290	65.829700	33	Asia/Kabul	0
Sidqabad, Afghanistan	35.022980	69.351120	14	Asia/Kabul	0
Sayagaz, Afghanistan	32.565210	67.033240	28	Asia/Kabul	0
Sar-e Tayghan, Afghanistan	33.509980	65.676320	41	Asia/Kabul	0
Sarobi, Afghanistan	34.589620	69.760050	13	Asia/Kabul	0
Sar Kani, Afghanistan	34.790230	71.109620	34	Asia/Kabul	0
Sarfiraz Kala, Afghanistan	32.983330	67.965170	08	Asia/Kabul	0
Sar-e Pul, Afghanistan	36.215440	65.932490	33	Asia/Kabul	52121
Sar Chakan, Afghanistan	35.701780	65.230550	07	Asia/Kabul	0
Sangin, Afghanistan	32.072750	64.835900	10	Asia/Kabul	13579
Sang-e Mashah, Afghanistan	33.139600	67.440460	08	Asia/Kabul	0
Sang-e Charak, Afghanistan	35.849720	66.436940	33	Asia/Kabul	15377
Sang Atesh, Afghanistan	35.248000	63.004400	02	Asia/Kabul	0
Sangar Saray, Afghanistan	34.407440	70.639370	18	Asia/Kabul	0
Aibak, Afghanistan	36.264680	68.015510	32	Asia/Kabul	47823
Ru-ye Sang, Afghanistan	35.319990	67.633870	05	Asia/Kabul	0
Rudbar, Afghanistan	30.150000	62.600000	19	Asia/Kabul	11034
Rustaq, Afghanistan	37.126040	69.830450	26	Asia/Kabul	25636
Rabat-e Sangi-ye Pa'in, Afghanistan	34.799510	62.139170	11	Asia/Kabul	0
Ramak, Afghanistan	33.522340	68.626400	08	Asia/Kabul	0
Qurghan, Afghanistan	36.919390	65.064900	07	Asia/Kabul	0
Quchanghi, Afghanistan	34.061830	66.278010	41	Asia/Kabul	0
Sangalak-i-Kaisar, Afghanistan	35.687470	64.293180	07	Asia/Kabul	0
Qarqin, Afghanistan	37.418530	66.043580	31	Asia/Kabul	15018
Qarghah'i, Afghanistan	34.554020	70.242920	35	Asia/Kabul	0
Qarchi Gak, Afghanistan	37.039990	66.788910	30	Asia/Kabul	8942
Qarawul, Afghanistan	37.220190	68.780410	24	Asia/Kabul	24544
Qarah Bagh, Afghanistan	34.940230	61.775890	11	Asia/Kabul	12412
Qarah Bagh, Afghanistan	33.198010	68.107980	08	Asia/Kabul	0
Qala i Naw, Afghanistan	34.987350	63.128910	02	Asia/Kabul	9000
Qal`ah-ye Kuf, Afghanistan	38.041190	70.472980	01	Asia/Kabul	0
Qal`ah-ye Kuhnah, Afghanistan	32.615910	63.666810	06	Asia/Kabul	0
Qal`ah-ye Shahr, Afghanistan	35.547290	65.567600	33	Asia/Kabul	7756
Qalat, Afghanistan	32.105750	66.908330	28	Asia/Kabul	12191
Qal`ah-ye Shahi, Afghanistan	34.649210	70.591400	18	Asia/Kabul	0
Qadis, Afghanistan	34.808500	63.430030	02	Asia/Kabul	0
Parun, Afghanistan	35.420700	70.922140	38	Asia/Kabul	0
Pul-e Khumri, Afghanistan	35.944580	68.715120	03	Asia/Kabul	56369
Pul-e `Alam, Afghanistan	33.995290	69.022740	17	Asia/Kabul	13247
