Key	Latitude	Longitude	Population	TZ
Mexico City, The Federal District	19.428470	-99.127660	12294193	America/Mexico_City
New York City, NY	40.714270	-74.005970	8175133	America/New_York
New York, NY	40.714270	-74.005970	8175133	America/New_York
Toronto, ON	43.700110	-79.416300	4612191	America/Toronto
Los Angeles, CA	34.052230	-118.243680	3792621	America/Los_Angeles
Montreal, QC	45.508840	-73.587810	3268513	America/Montreal
Chicago, IL	41.850030	-87.650050	2695598	America/Chicago
Brooklyn, NY	40.650100	-73.949580	2300664	America/New_York
Houston, TX	29.763280	-95.363270	2099451	America/Chicago
Vancouver, BC	49.249660	-123.119340	1837969	America/Vancouver
Iztapalapa, The Federal District	19.357380	-99.067100	1820888	America/Mexico_City
Ecatepec, Mexico	19.617250	-99.066010	1806226	America/Mexico_City
Guadalajara, Jalisco	20.666820	-103.391820	1640589	America/Mexico_City
Puebla de Zaragoza, Puebla	19.043340	-98.201930	1590256	America/Mexico_City
Philadelphia, PA	39.952340	-75.163790	1526006	America/New_York
Ciudad Juarez, Chihuahua	31.733330	-106.483330	1512354	America/Ojinaga
Manhattan, NY	40.783430	-73.966250	1487536	America/New_York
Phoenix, AZ	33.448380	-112.074040	1445632	America/Phoenix
Borough of Bronx, NY	40.849850	-73.866410	1385108	America/New_York
Bronx, NY	40.849850	-73.866410	1385108	America/New_York
Tijuana, Baja California	32.502700	-117.003710	1376457	America/Tijuana
San Antonio, TX	29.424120	-98.493630	1327407	America/Chicago
San Diego, CA	32.715330	-117.157260	1307402	America/Los_Angeles
Ciudad Nezahualcoyotl, Mexico	19.400610	-99.014830	1232220	America/Mexico_City
Dallas, TX	32.783060	-96.806670	1197816	America/Chicago
Gustavo A. Madero, The Federal District	19.490160	-99.109780	1193161	America/Mexico_City
Gustavo A. Madero, Tamaulipas	22.869710	-98.758950	1185772	America/Monterrey
Monterrey, Nuevo Leon	25.675060	-100.318460	1122874	America/Monterrey
Leon, Guanajuato	21.121310	-101.668010	1114626	America/Mexico_City
Calgary, AB	51.050110	-114.085290	1019942	America/Edmonton
Zapopan, Jalisco	20.723560	-103.384790	987516	America/Mexico_City
San Jose, CA	37.339390	-121.894960	945942	America/Los_Angeles
Naucalpan de Juarez, Mexico	19.478510	-99.239630	846185	America/Mexico_City
Indianapolis, IN	39.768380	-86.158040	829718	America/Indiana/Indianapolis
Jacksonville, FL	30.332180	-81.655650	821784	America/New_York
Ottawa, ON	45.411170	-75.698120	812129	America/Toronto
San Francisco, CA	37.774930	-122.419420	805235	America/Los_Angeles
Austin, TX	30.267150	-97.743060	790390	America/Chicago
Columbus, OH	39.961180	-82.998790	787033	America/New_York
Fort Worth, TX	32.725410	-97.320850	741206	America/Chicago
Charlotte, NC	35.227090	-80.843130	731424	America/New_York
Guadalupe, Nuevo Leon	25.676780	-100.256460	724921	America/Monterrey
Merida, Yucatan	20.976700	-89.620590	717175	America/Merida
