Key	Latitude	Longitude	Population	TZ
El Tarter, Andorra	42.579520	1.653620	1052	Europe/Andorra
Sant Julia de Loria, Andorra	42.463720	1.491290	8022	Europe/Andorra
Pas de la Casa, Andorra	42.542770	1.733610	2363	Europe/Andorra
Ordino, Andorra	42.556230	1.533190	3066	Europe/Andorra
les Escaldes, Andorra	42.507290	1.534140	15853	Europe/Andorra
la Massana, Andorra	42.544990	1.514830	7211	Europe/Andorra
Encamp, Andorra	42.534740	1.580140	11223	Europe/Andorra
Canillo, Andorra	42.567600	1.597560	3292	Europe/Andorra
Arinsal, Andorra	42.572050	1.484530	1419	Europe/Andorra
Andorra la Vella, Andorra	42.507790	1.521090	20430	Europe/Andorra
Xarre, Albania	39.728330	20.054440	0	Europe/Tirane
Sarande, Albania	39.875560	20.005280	15147	Europe/Tirane
Mesopotam, Albania	39.910280	20.092220	0	Europe/Tirane
Markat, Albania	39.732780	20.195280	0	Europe/Tirane
Livadhja, Albania	39.789170	20.121940	0	Europe/Tirane
Konispol, Albania	39.658890	20.181390	1349	Europe/Tirane
Kakavije, Albania	39.907780	20.358330	0	Europe/Tirane
Finiq, Albania	39.906390	20.058330	0	Europe/Tirane
Dhiver, Albania	39.836110	20.168610	0	Europe/Tirane
Delvine, Albania	39.951110	20.097780	3916	Europe/Tirane
Aliko, Albania	39.858610	20.079170	0	Europe/Tirane
Bucimas, Albania	40.891390	20.681390	0	Europe/Tirane
Zhepe, Albania	40.677780	20.286940	0	Europe/Tirane
Zerqan, Albania	41.502220	20.360560	0	Europe/Tirane
Zavaline, Albania	40.980830	20.280830	0	Europe/Tirane
Zapod, Albania	42.050560	20.552500	0	Europe/Tirane
Zall-Rec, Albania	41.876110	20.320000	0	Europe/Tirane
Zall-Dardhe, Albania	41.806670	20.336110	0	Europe/Tirane
Xiber-Murrize, Albania	41.454720	20.025560	0	Europe/Tirane
Vreshtas, Albania	40.796940	20.776940	0	Europe/Tirane
Voskopoje, Albania	40.633060	20.588890	0	Europe/Tirane
Voskop, Albania	40.611940	20.690280	0	Europe/Tirane
Vithkuq, Albania	40.525000	20.582500	0	Europe/Tirane
Vithkuq, Albania	40.204720	20.259440	0	Europe/Tirane
Vertop, Albania	40.628890	20.053890	0	Europe/Tirane
Vergo, Albania	40.006670	20.008890	0	Europe/Tirane
Vendresha e Vogel, Albania	40.507220	20.134720	0	Europe/Tirane
Velcan, Albania	40.954720	20.462220	0	Europe/Tirane
Ujmisht, Albania	41.908330	20.346940	0	Europe/Tirane
Udenisht, Albania	40.963330	20.639170	0	Europe/Tirane
Tunje, Albania	40.834170	20.111940	0	Europe/Tirane
Tregan, Albania	41.024720	20.078330	0	Europe/Tirane
Trebisht-Mucine, Albania	41.411110	20.535560	0	Europe/Tirane
Trebinje, Albania	40.913330	20.553060	0	Europe/Tirane
Topojan, Albania	40.377220	20.213330	0	Europe/Tirane
Tomin, Albania	41.690830	20.421670	0	Europe/Tirane
Tepelene, Albania	40.295830	20.019170	11955	Europe/Tirane
Surroj, Albania	41.992220	20.344170	0	Europe/Tirane
Sult, Albania	40.884720	20.099440	0	Europe/Tirane
Suke, Albania	40.375280	20.154720	0	Europe/Tirane
Suc, Albania	41.576940	20.051390	0	Europe/Tirane
Stravaj, Albania	41.005280	20.423060	0	Europe/Tirane
Stebleve, Albania	41.337220	20.470000	0	Europe/Tirane
Sllove, Albania	41.801110	20.408330	0	Europe/Tirane
Skore, Albania	40.107220	20.366390	0	Europe/Tirane
Skenderbegas, Albania	40.776110	20.240560	0	Europe/Tirane
Shushice, Albania	41.097500	20.148330	0	Europe/Tirane
Shupenze, Albania	41.530000	20.423610	0	Europe/Tirane
Shtiqen, Albania	42.040560	20.434170	0	Europe/Tirane
Shishtavec, Albania	41.980000	20.605830	0	Europe/Tirane
Shirgjan, Albania	41.051940	20.053330	0	Europe/Tirane
Shengjin, Albania	41.926110	20.188330	0	Europe/Tirane
Shenmeri, Albania	42.104170	20.238330	0	Europe/Tirane
Selishte, Albania	41.627500	20.279170	0	Europe/Tirane
Saraqinishte, Albania	40.105280	20.229440	0	Europe/Tirane
Rukaj, Albania	41.683610	20.019170	0	Europe/Tirane
Rajce, Albania	41.090280	20.576390	0	Europe/Tirane
Roshnik, Albania	40.732780	20.039440	0	Europe/Tirane
Qukes-Skenderbe, Albania	41.083890	20.438060	0	Europe/Tirane
Qestorat, Albania	40.117500	20.199720	0	Europe/Tirane
Qafemal, Albania	42.093330	20.090560	0	Europe/Tirane
Perrenjas-Fshat, Albania	41.066670	20.535280	4015	Europe/Tirane
Perrenjas, Albania	41.073060	20.548890	0	Europe/Tirane
Proptisht, Albania	40.986110	20.502500	0	Europe/Tirane
Proger, Albania	40.694170	20.940280	0	Europe/Tirane
Potom, Albania	40.488330	20.373330	0	Europe/Tirane
Porocan, Albania	40.941940	20.298610	0	Europe/Tirane
Polis-Gostime, Albania	41.133330	20.258330	0	Europe/Tirane
Polican, Albania	40.612220	20.098060	10663	Europe/Tirane
Pojan, Albania	40.725830	20.837500	0	Europe/Tirane
Pogradec, Albania	40.902500	20.652500	0	Europe/Tirane
Pishaj, Albania	40.881110	20.182780	0	Europe/Tirane
Pirg, Albania	40.785000	20.706110	0	Europe/Tirane
Gjinkar, Albania	40.199440	20.406110	3243	Europe/Tirane
Petran, Albania	40.209440	20.418330	0	Europe/Tirane
Peshkopi, Albania	41.685000	20.428890	14848	Europe/Tirane
Permet, Albania	40.233610	20.351670	10686	Europe/Tirane
Ostreni i Math, Albania	41.430830	20.455560	0	Europe/Tirane
Orosh, Albania	41.833330	20.083330	0	Europe/Tirane
Orenje, Albania	41.284720	20.211940	0	Europe/Tirane
Odrie, Albania	40.133330	20.166670	0	Europe/Tirane
Novosele, Albania	40.761390	20.698330	0	Europe/Tirane
Picar, Albania	40.166670	20.048330	0	Europe/Tirane
Mollas, Albania	40.926940	20.003610	0	Europe/Tirane
Mollas, Albania	40.425560	20.674440	0	Europe/Tirane
Mollaj, Albania	40.560280	20.740280	0	Europe/Tirane
Miras, Albania	40.509170	20.928330	0	Europe/Tirane
Melan, Albania	41.654170	20.465280	0	Europe/Tirane
Martanesh, Albania	41.400000	20.200000	0	Europe/Tirane
Maqellare, Albania	41.588890	20.483060	0	Europe/Tirane
Maliq, Albania	40.705830	20.699720	3735	Europe/Tirane
Macukull, Albania	41.688610	20.110280	0	Europe/Tirane
Lunik, Albania	41.289170	20.323610	0	Europe/Tirane
Llugaj, Albania	42.341390	20.108610	0	Europe/Tirane
Lis, Albania	41.627500	20.085280	0	Europe/Tirane
Liqenas, Albania	40.786670	20.902220	0	Europe/Tirane
Librazhd, Albania	41.179440	20.315000	0	Europe/Tirane
Libonik, Albania	40.704440	20.708610	0	Europe/Tirane
Libohove, Albania	40.031110	20.263060	3651	Europe/Tirane
Leskovik, Albania	40.151390	20.597220	2655	Europe/Tirane
Leshnje, Albania	40.536940	20.313330	0	Europe/Tirane
Lenias, Albania	40.766670	20.391390	0	Europe/Tirane
Lekas, Albania	40.602220	20.512500	0	Europe/Tirane
Lazarat, Albania	40.046670	20.147500	0	Europe/Tirane
Labinot-Mal, Albania	41.200830	20.152220	0	Europe/Tirane
Labinot-Fushe, Albania	41.140560	20.146110	0	Europe/Tirane
Kushove, Albania	40.788890	20.188890	0	Europe/Tirane
Kurbnesh, Albania	41.779720	20.083610	1429	Europe/Tirane
Kukur, Albania	40.867780	20.363610	0	Europe/Tirane
Kukes, Albania	42.076940	20.421940	17832	Europe/Tirane
Kthella e Eperme, Albania	41.811940	20.058890	0	Europe/Tirane
Krume, Albania	42.196940	20.413330	0	Europe/Tirane
Korce, Albania	40.618610	20.780830	58259	Europe/Tirane
Kolsh, Albania	42.078060	20.341940	0	Europe/Tirane
Kodovjat, Albania	40.805560	20.251110	0	Europe/Tirane
Klos, Albania	41.506940	20.086670	683	Europe/Tirane
Klos, Albania	40.946110	20.009720	0	Europe/Tirane
Kelcyre, Albania	40.313060	20.189440	2486	Europe/Tirane
Kastriot, Albania	41.729440	20.377220	0	Europe/Tirane
Kardhiq, Albania	40.121670	20.027500	0	Europe/Tirane
Kalis, Albania	41.838890	20.366670	0	Europe/Tirane
Iballe, Albania	42.187500	20.002500	0	Europe/Tirane
Hotolisht, Albania	41.156670	20.397220	0	Europe/Tirane
Hocisht, Albania	40.608330	20.914170	0	Europe/Tirane
Gramsh, Albania	40.869720	20.184440	11556	Europe/Tirane
Gostime, Albania	41.145560	20.240000	0	Europe/Tirane
Golaj, Albania	42.247500	20.380280	0	Europe/Tirane
Gjorica e Siperme, Albania	41.534440	20.450000	0	Europe/Tirane
Gjirokaster, Albania	40.075830	20.138890	23437	Europe/Tirane
Gjinar, Albania	41.022500	20.188890	0	Europe/Tirane
