date	democrat	republican
20120101		
20120102	2	
20120103	3	1
20120104	10	6
20120105	1	7
20120106	4	9
20120107		1
20120108	1	1
20120109	5	3
20120110	2	6
20120111	10	7
20120112	5	4
20120113	5	8
20120114		3
20120115	1	1
20120116	2	3
20120117	4	4
20120118	12	21
20120119	10	7
20120120	7	9
20120121	1	
20120122		2
20120123	6	15
20120124	9	20
20120125	11	10
20120126	5	10
20120127	6	10
20120128		1
20120129		2
20120130	6	4
20120201	17	16
20120202	6	15
20120203	13	21
20120204	1	
20120205		
20120206	4	10
20120207	7	9
20120208	7	9
20120209	7	7
20120210	6	7
20120211	2	1
20120212		
20120213	10	16
20120214	11	6
20120215	12	13
20120216	10	9
20120217	4	14
20120218		
20120219	1	1
20120220		
20120221	5	4
20120222	5	5
20120223	14	5
20120224	4	3
20120225		1
20120226		
20120227	5	8
20120228	11	11
20120229	6	14
20120301	4	13
20120302	4	7
20120303		1
20120304		
20120305	4	8
20120306	5	10
20120307	3	14
20120308	3	11
20120309	3	9
20120310		
20120311	1	
20120312	4	4
20120313	6	2
20120314	5	10
20120315	3	6
20120316	7	11
20120317		2
20120318		
20120319	8	5
20120320	4	14
20120321	9	7
20120322	6	18
20120323	2	8
20120324	1	2
20120325		
20120326	6	15
20120327	3	8
20120328	5	9
20120329	7	18
20120330	2	10
20120401		2
20120402	4	5
20120403	2	4
20120404	3	6
20120405	2	7
20120406		8
20120407		
20120408		1
20120409	3	5
20120410	2	10
20120411	1	3
20120412		4
20120413	1	6
20120414		
20120415	1	
20120416	4	8
20120417	8	14
20120418	12	10
20120419	8	10
20120420	4	5
20120421		1
20120422		
20120423	7	5
20120424	1	7
20120425	6	10
20120426	10	12
20120427	5	11
20120428		
20120429		3
20120430	2	8
20120501	9	10
20120502	5	6
20120503	1	3
20120504	6	8
20120505		
20120506		1
20120507	3	5
20120508	6	12
20120509	14	9
20120510	7	13
20120511	3	10
20120512		1
20120513		
20120514	5	6
20120515	5	9
20120516	7	13
20120517	11	11
20120518	6	12
20120519	1	
20120520	1	1
20120521	6	4
20120522	5	9
20120523	7	6
20120524	10	14
20120525	5	9
20120526		
20120527		1
20120528		1
20120529	3	6
20120530	7	6
20120601	2	11
20120602		
20120603		
20120604	3	4
20120605	5	4
20120606	4	7
20120607	9	12
20120608	7	6
20120609		
20120610		1
20120611	4	3
20120612	4	6
20120613	11	9
20120614	7	3
20120615	3	6
20120616		
20120617		1
20120618	4	6
20120619	6	7
20120620	18	8
20120621	6	7
20120622	6	6
20120623	1	1
20120624	1	
20120625	15	3
20120626	17	8
20120627	9	7
20120628	7	26
20120629	13	17
20120630		2
20120701		5
20120702	10	7
20120703	2	7
20120704	1	6
20120705	1	2
20120706	2	6
20120707		
20120708	1	
20120709	3	6
20120710	3	4
20120711	11	15
20120712	7	3
20120713	4	4
20120714	1	1
20120715		
20120716	3	7
20120717	8	6
20120718	11	3
20120719	9	3
20120720	3	5
20120721		1
20120722	1	2
20120723	4	1
20120724	6	3
20120725	9	7
20120726	4	13
20120727	4	10
20120728		
20120729		
20120730	6	
20120801	6	18
20120802	7	10
20120803	3	11
20120804		
20120805		
20120806	6	5
20120807	5	4
20120808	4	1
20120809	1	3
20120810	2	2
20120811	2	
20120812		1
20120813	8	1
20120814	4	1
20120815	8	2
20120816	7	1
20120817	1	6
20120818		
20120819		
20120820	5	3
20120821	3	
20120822	3	2
20120823	5	2
20120824	2	6
20120825	2	6
20120826	3	
20120827	1	3
20120828	5	
20120829	5	
20120830	2	1
20120901		
20120902		1
20120903		1
20120904	2	5
20120905	3	7
20120906	3	1
20120907	3	8
20120908		3
20120909	1	
20120910	6	3
20120911	5	13
20120912	8	5
20120913	6	7
20120914	6	7
20120915		
20120916		
20120917	7	5
20120918	5	2
20120919	9	4
20120920	8	9
20120921	8	10
20120922	3	
20120923		1
20120924	4	6
20120925	3	3
20120926	7	2
20120927	4	4
20120928	3	4
20120929	2	
20120930		
20121001	6	1
20121002	2	7
20121003	3	1
20121004	4	1
20121005	5	5
20121006		
20121007	1	
20121008		1
20121009	3	1
20121010	3	3
20121011	1	
20121012	2	4
20121013		
20121014		
20121015	1	1
20121016	6	1
20121017	4	2
20121018	4	1
20121019	1	4
20121020	1	
20121021		
20121022	7	1
20121023	1	1
20121024	2	3
20121025	3	1
20121026	1	1
20121027		
20121028		
20121029	2	2
20121030	1	1
20121101	2	2
20121102	2	3
20121103	1	
20121104		1
20121105	1	
20121106		
20121107	3	1
20121108		3
20121109	1	6
20121110		
20121111	1	2
20121112	3	2
20121113	5	1
20121114	7	2
20121115	2	4
20121116	5	6
20121117		
20121118		
20121119	3	1
20121120	1	1
20121121	2	6
20121122		1
20121123		1
20121124		
20121125		
20121126	1	1
20121127	2	1
20121128	4	7
20121129	5	4
20121130	2	9
