date	democrat	republican
20120101		
20120102		1
20120103	1	
20120104	3	6
20120105	4	4
20120106	2	10
20120107		
20120108		
20120109	4	12
20120110	1	
20120111	2	2
20120112	1	1
20120113	2	10
20120114		1
20120115		2
20120116		2
20120117		6
20120118	7	21
20120119	1	3
20120120	5	13
20120121		
20120122		2
20120123	4	15
20120124	6	30
20120125	4	14
20120126	1	8
20120127	1	8
20120128		
20120129		
20120130		9
20120201	2	14
20120202	4	16
20120203	6	26
20120204	1	
20120205		1
20120206	2	11
20120207	4	14
20120208	1	10
20120209	6	10
20120210	4	9
20120211	1	1
20120212		1
20120213	2	17
20120214	2	11
20120215	1	12
20120216	6	13
20120217	5	17
20120218	1	70
20120219		1
20120220		2
20120221	1	2
20120222	5	7
20120223	3	3
20120224		5
20120225	1	2
20120226		1
20120227	1	8
20120228	3	16
20120229	3	15
20120301	3	14
20120302	2	13
20120303		1
20120304		
20120305	2	9
20120306	4	8
20120307	3	14
20120308	5	26
20120309	2	17
20120310	1	
20120311		2
20120312	4	9
20120313	3	6
20120314	1	14
20120315	1	4
20120316	3	4
20120317	1	
20120318		1
20120319	2	6
20120320	7	17
20120321	13	16
20120322	6	26
20120323	4	17
20120324	2	1
20120325	1	2
20120326	2	13
20120327	4	8
20120328	3	14
20120329	7	30
20120330	2	6
20120401		
20120402	1	6
20120403	5	6
20120404		4
20120405	5	14
20120406	2	8
20120407	1	
20120408		1
20120409		8
20120410	3	3
20120411	4	10
20120412	5	7
20120413	5	12
20120414	1	
20120415		2
20120416	1	14
20120417	3	10
20120418	3	11
20120419	5	18
20120420	1	11
20120421	2	1
20120422		1
20120423	1	12
20120424	7	10
20120425	5	9
20120426	4	19
20120427	2	25
20120428	1	4
20120429		
20120430	2	12
20120501	4	6
20120502	1	3
20120503	1	6
20120504	2	6
20120505	3	1
20120506		
20120507	8	9
20120508	2	9
20120509	4	13
20120510	5	13
20120511	6	8
20120512	1	
20120513		
20120514	3	8
20120515	2	11
20120516	3	15
20120517	9	11
20120518	2	16
20120519	1	1
20120520		1
20120521	1	3
20120522	2	4
20120523	2	5
20120524	5	12
20120525	4	10
20120526	1	
20120527		3
20120528		4
20120529	3	3
20120530	1	6
20120601	3	19
20120602		4
20120603		2
20120604		9
20120605	1	2
20120606	1	10
20120607	3	20
20120608	1	10
20120609		1
20120610		1
20120611		4
20120612	1	9
20120613	1	10
20120614	1	10
20120615	3	15
20120616		1
20120617		1
20120618	3	10
20120619	5	13
20120620	6	18
20120621	4	22
20120622	1	6
20120623	1	
20120624		1
20120625	7	7
20120626	2	15
20120627	3	3
20120628	9	46
20120629	2	21
20120630		
20120701		
20120702	1	10
20120703	2	4
20120704	1	2
20120705	1	4
20120706	1	8
20120707		1
20120708		1
20120709	5	9
20120710	5	10
20120711	3	23
20120712	5	9
20120713	1	5
20120714		
20120715		2
20120716	2	4
20120717	1	3
20120718	2	11
20120719	3	15
20120720	2	9
20120721		1
20120722		1
20120723	1	7
20120724	4	10
20120725		17
20120726	3	24
20120727	1	13
20120728		2
20120729		1
20120730	5	4
20120801	2	18
20120802	4	20
20120803	2	18
20120804		
20120805		3
20120806		9
20120807		
20120808	4	6
20120809	1	3
20120810	4	12
20120811		1
20120812		
20120813	1	6
20120814	2	2
20120815	4	3
20120816	2	1
20120817	3	5
20120818		
20120819		1
20120820		6
20120821	1	7
20120822	1	4
20120823	2	6
20120824	1	4
20120825		1
20120826		
20120827		8
20120828	1	
20120829	1	4
20120830	4	4
20120901		
20120902		
20120903		3
20120904		6
20120905	2	3
20120906	1	1
20120907	2	15
20120908		1
20120909		1
20120910		5
20120911	4	17
20120912	1	20
20120913		16
20120914		15
20120915		1
20120916		1
20120917	1	11
20120918	5	6
20120919		12
20120920	3	21
20120921	2	15
20120922		2
20120923	1	1
20120924		8
20120925	5	3
20120926	3	3
20120927	2	7
20120928		6
20120929		
20120930		2
20121001	1	5
20121002	5	6
20121003	2	4
20121004		3
20121005	3	15
20121006		
20121007		1
20121008		2
20121009	2	2
20121010	4	4
20121011		1
20121012	4	2
20121013		
20121014		1
20121015	3	7
20121016	3	4
20121017		2
20121018		4
20121019	2	8
20121020		1
20121021		1
20121022		2
20121023	1	2
20121024		4
20121025		3
20121026	3	5
20121027	1	
20121028	1	1
20121029		3
20121030		1
20121101	2	3
20121102	4	9
20121103		1
20121104		1
20121105	1	9
20121106		2
20121107		2
20121108		
20121109	4	4
20121110		1
20121111	1	6
20121112		4
20121113	1	4
20121114	3	7
20121115	1	8
20121116	4	18
20121117		
20121118		
20121119	1	7
20121120		5
20121121	1	1
20121122	1	1
20121123		
20121124		
20121125		
20121126	3	3
20121127	1	10
20121128	1	12
20121129		11
20121130	2	20
