"DBA"	"ADDRESS"	"latitude"	"longitude"
"21728"	"FENG SHUI CHINESE CUISINE"	" GRAND CENTRAL TERMINAL , New York, NY 10017"	40.79705	-73.949604
"54748"	"TASTY HAND-PULLED NOODLES"	"1 DOYERS STREET , New York, NY 10013"	40.714126	-73.997708
"43832"	"NEW KING GARDEN"	"1 WEST  137 STREET , New York, NY 10037"	40.814043	-73.936688
"53428"	"388 CAFE & DELI"	"1ÔÂ3ÈÕ ELDRIDGE STREET , New York, NY 10002"	0	0
"20465"	"EVERGREEN ON 38"	"10 EAST 38 STREET , New York, NY 10016"	40.750555	-73.982154
"32347"	"CHINATOWN RESTAURANT"	"10 MONTGOMERY STREET , New York, NY 10002"	40.714035	-73.985366
"56627"	"FAMOUS SICHUAN"	"10 PELL STREET , New York, NY 10013"	40.714764	-73.997362
"53344"	"NO 1 CHINESE RESTAURANT"	"10 SOUTH WILLIAM STREET , New York, NY 10004"	40.704804	-74.010394
"53618"	"SHANGHAI CAFE DELUXE"	"100 MOTT STREET , New York, NY 10013"	40.71727	-73.997465
"11365"	"DUMPLING MAN"	"100 ST MARKS PLACE , New York, NY 10009"	0	0
"55524"	"MAIN NOODLE HOUSE"	"1011 AVENUE OF THE AMERICAS , New York, NY 10018"	40.752107	-73.986259
"1747"	"COLUMBIA COTTAGE"	"1034 AMSTERDAM AVENUE , New York, NY 10025"	40.803627	-73.963383
"54697"	"SHANGHAI HEPING RESTAURANT"	"104 MOTT STREET , New York, NY 10013"	40.717432	-73.997389
"22317"	"GRAND SICHUAN EASTERN"	"1049 2 AVENUE , New York, NY 10022"	40.75425	-73.968978
"26471"	"KING HOUSE"	"1053 ST NICHOLAS AVENUE , New York, NY 10032"	40.836646	-73.940101
"15186"	"SHAN DONG DUMPLING"	"106 MOSCO STREET , New York, NY 10013"	40.714529	-73.999561
"24798"	"LIN'S GOURMET"	"1097 2 AVENUE , New York, NY 10022"	40.75425	-73.968978
"56490"	"FULEEN SEAFOOD RESTAURANT ."	"11 DIVISION STREET , New York, NY 10002"	40.713931	-73.99704
"45136"	"NEW NO. 1 RESTAURANT"	"11 EAST BROADWAY , New York, NY 10038"	40.713377	-73.99753
"53433"	"LOBSTER BOAT RESTAURANT"	"11 MOTT STREET , New York, NY 10013"	40.713954	-73.998773
"54711"	"LOTUS BLUE"	"110 READE STREET , New York, NY 10013"	40.715995	-74.008335
"16172"	"HO YIP RESTAURANT"	"110-112 LIBERTY STREET , New York, NY 10006"	40.709846	-74.012081
"49304"	"SING HUANG RESTAURANT"	"111 LAFAYETTE STREET , New York, NY 10013"	40.718138	-74.000753
"50998"	"EXCELLENT DUMPLING HOUSE"	"111 LAFAYETTE STREET , New York, NY 10013"	40.718138	-74.000753
"49451"	"NEW SHUN HING CHINESE RESTAURANT"	"1111 PA AVE , New York, NY 11207"	40.675506	-73.903475
"54624"	"RED STAR RESTAURANT"	"112 EAST 116 STREET , New York, NY 10029"	40.799072	-73.942968
"38151"	"HOU YI HOT POT RESTAURANT"	"112 Eldridge Street , New York, NY 10002"	40.718263	-73.992066
"21581"	"DUMPLING HOUSE"	"118 A ELDRIDGE STREET , New York, NY 10002"	40.718494	-73.991976
"43755"	"CHINA RED GOURMENT"	"118 CHAMBERS ST , New York, NY 10007"	40.715099	-74.008372
"17163"	"MR. CHOW TRIBECCA"	"121 HUDSON STREET , New York, NY 10013"	40.719952	-74.008584
"34196"	"WONG RESTAURANT"	"1217 1 AVENUE , New York, NY 10065"	40.76023	-73.961522
"9302"	"CHINA FUN"	"1221 2 AVENUE , New York, NY 10065"	40.761232	-73.963883
"39496"	"tea drunk"	"123 EAST    7 STREET , New York, NY 10009"	40.726151	-73.984403
"21778"	"KANG KEE CHINESE RESTAURANT"	"124 HESTER STREET , New York, NY 10002"	40.716966	-73.994623
"49878"	"KELLEY & PING"	"127 GREENE STREET , New York, NY 10012"	40.725014	-73.999251
"37798"	"China Sun"	"1270A ST NICHOLAS AVENUE , New York, NY 10033"	40.844476	-73.937269
"3074"	"YIP'S"	"1290 AVENUE OF AMERICAS , New York, NY 10019"	0	0
"51704"	"NEW BEIJING WOK"	"1324 2 AVENUE , New York, NY 10021"	40.766867	-73.959777
"11945"	"A & C KITCHEN"	"134-136 AVENUE C , New York, NY 10009"	40.725028	-73.978141
