City Name,Criteria ID,DMA Region Name,DMA Region Code
Acton,1018752,"Portland-Auburn, ME",500
Albion,1018754,"Portland-Auburn, ME",500
Alfred,1018755,"Portland-Auburn, ME",500
Andover,1018756,"Portland-Auburn, ME",500
Auburn,1018760,"Portland-Auburn, ME",500
Augusta,1018761,"Portland-Auburn, ME",500
Bar Mills,1018766,"Portland-Auburn, ME",500
Bath,1018768,"Portland-Auburn, ME",500
Belgrade,1018771,"Portland-Auburn, ME",500
Berwick,1018774,"Portland-Auburn, ME",500
Bethel,1018775,"Portland-Auburn, ME",500
Biddeford,1018776,"Portland-Auburn, ME",500
Boothbay,1018779,"Portland-Auburn, ME",500
Boothbay Harbor,1018780,"Portland-Auburn, ME",500
Bowdoinham,1018781,"Portland-Auburn, ME",500
Bremen,1018784,"Portland-Auburn, ME",500
Bridgton,1018787,"Portland-Auburn, ME",500
Bristol,1018788,"Portland-Auburn, ME",500
Brownfield,1018792,"Portland-Auburn, ME",500
Brunswick,1018794,"Portland-Auburn, ME",500
Bryant Pond,1018795,"Portland-Auburn, ME",500
Buckfield,1018796,"Portland-Auburn, ME",500
Buxton,1018799,"Portland-Auburn, ME",500
Camden,1018802,"Portland-Auburn, ME",500
Canton,1018804,"Portland-Auburn, ME",500
Cape Elizabeth,1018805,"Portland-Auburn, ME",500
Cape Porpoise,1018806,"Portland-Auburn, ME",500
Casco,1018810,"Portland-Auburn, ME",500
Chebeague Island,1018813,"Portland-Auburn, ME",500
Cliff Island,1018815,"Portland-Auburn, ME",500
Clinton,1018816,"Portland-Auburn, ME",500
Cornish,1018820,"Portland-Auburn, ME",500
Cumberland Center,1018822,"Portland-Auburn, ME",500
Cushing,1018823,"Portland-Auburn, ME",500
Damariscotta,1018825,"Portland-Auburn, ME",500
Denmark,1018828,"Portland-Auburn, ME",500
Dixfield,1018832,"Portland-Auburn, ME",500
Dresden,1018834,"Portland-Auburn, ME",500
Durham,1018835,"Portland-Auburn, ME",500
East Baldwin,1018837,"Portland-Auburn, ME",500
East Boothbay,1018838,"Portland-Auburn, ME",500
East Vassalboro,1018841,"Portland-Auburn, ME",500
East Waterboro,1018842,"Portland-Auburn, ME",500
Edgecomb,1018846,"Portland-Auburn, ME",500
Eliot,1018847,"Portland-Auburn, ME",500
Falmouth,1018852,"Portland-Auburn, ME",500
Farmingdale,1018853,"Portland-Auburn, ME",500
Farmington,1018854,"Portland-Auburn, ME",500
Freeport,1018857,"Portland-Auburn, ME",500
Friendship,1018860,"Portland-Auburn, ME",500
Fryeburg,1018861,"Portland-Auburn, ME",500
Gardiner,1018864,"Portland-Auburn, ME",500
Georgetown,1018866,"Portland-Auburn, ME",500
Glen Cove,1018867,"Portland-Auburn, ME",500
Gorham,1018868,"Portland-Auburn, ME",500
Gray,1018872,"Portland-Auburn, ME",500
Greene,1018874,"Portland-Auburn, ME",500
Hallowell,1018877,"Portland-Auburn, ME",500
Harpswell,1018881,"Portland-Auburn, ME",500
Harrison,1018883,"Portland-Auburn, ME",500
Hebron,1018885,"Portland-Auburn, ME",500
Hiram,1018887,"Portland-Auburn, ME",500
Hollis Center,1018889,"Portland-Auburn, ME",500
Hope,1018890,"Portland-Auburn, ME",500
Isle au Haut,1018895,"Portland-Auburn, ME",500
Jay,1018899,"Portland-Auburn, ME",500
Jefferson,1018900,"Portland-Auburn, ME",500
Kennebunk,1018904,"Portland-Auburn, ME",500
Kennebunkport,1018905,"Portland-Auburn, ME",500
Kents Hill,1018906,"Portland-Auburn, ME",500
Kingfield,1018907,"Portland-Auburn, ME",500
Kittery,1018909,"Portland-Auburn, ME",500
Kittery Point,1018910,"Portland-Auburn, ME",500
Lebanon,1018912,"Portland-Auburn, ME",500
Leeds,1018914,"Portland-Auburn, ME",500
Lewiston,1018916,"Portland-Auburn, ME",500
Limerick,1018918,"Portland-Auburn, ME",500
Limington,1018920,"Portland-Auburn, ME",500
Lisbon,1018923,"Portland-Auburn, ME",500
Lisbon Falls,1018924,"Portland-Auburn, ME",500
Livermore,1018925,"Portland-Auburn, ME",500
Livermore Falls,1018926,"Portland-Auburn, ME",500
Long Island,1018927,"Portland-Auburn, ME",500
Lovell,1018928,"Portland-Auburn, ME",500
Manchester,1018934,"Portland-Auburn, ME",500
Matinicus Isle,1018937,"Portland-Auburn, ME",500
Mechanic Falls,1018939,"Portland-Auburn, ME",500
Mexico,1018941,"Portland-Auburn, ME",500
Minot,1018946,"Portland-Auburn, ME",500
Monhegan,1018947,"Portland-Auburn, ME",500
Monmouth,1018948,"Portland-Auburn, ME",500
Mount Vernon,1018954,"Portland-Auburn, ME",500
Naples,1018955,"Portland-Auburn, ME",500
New Gloucester,1018956,"Portland-Auburn, ME",500
New Harbor,1018957,"Portland-Auburn, ME",500
New Sharon,1018959,"Portland-Auburn, ME",500
New Vineyard,1018961,"Portland-Auburn, ME",500
Newcastle,1018962,"Portland-Auburn, ME",500
Newfield,1018963,"Portland-Auburn, ME",500
Nobleboro,1018965,"Portland-Auburn, ME",500
North Berwick,1018968,"Portland-Auburn, ME",500
North Bridgton,1018969,"Portland-Auburn, ME",500
North Haven,1018970,"Portland-Auburn, ME",500
North Jay,1018971,"Portland-Auburn, ME",500
North Monmouth,1018972,"Portland-Auburn, ME",500
North Yarmouth,1018974,"Portland-Auburn, ME",500
Norway,1018976,"Portland-Auburn, ME",500
Oakland,1018978,"Portland-Auburn, ME",500
Ogunquit,1018979,"Portland-Auburn, ME",500
Old Orchard Beach,1018981,"Portland-Auburn, ME",500
Orrs Island,1018986,"Portland-Auburn, ME",500
Owls Head,1018988,"Portland-Auburn, ME",500
Oxford,1018989,"Portland-Auburn, ME",500
Paris,1018992,"Portland-Auburn, ME",500
Parsonsfield,1018993,"Portland-Auburn, ME",500
Peaks Island,1018995,"Portland-Auburn, ME",500
Pemaquid,1018996,"Portland-Auburn, ME",500
Peru,1019000,"Portland-Auburn, ME",500
Phillips,1019001,"Portland-Auburn, ME",500
Phippsburg,1019002,"Portland-Auburn, ME",500
Poland,1019004,"Portland-Auburn, ME",500
Porter,1019005,"Portland-Auburn, ME",500
Portland,1019006,"Portland-Auburn, ME",500
Town of Pownal,1019007,"Portland-Auburn, ME",500
Randolph,1019010,"Portland-Auburn, ME",500
Rangeley,1019011,"Portland-Auburn, ME",500
Raymond,1019012,"Portland-Auburn, ME",500
Readfield,1019013,"Portland-Auburn, ME",500
Richmond,1019014,"Portland-Auburn, ME",500
Rockland,1019016,"Portland-Auburn, ME",500
Rockport,1019017,"Portland-Auburn, ME",500
Rumford,1019019,"Portland-Auburn, ME",500
Sabattus,1019020,"Portland-Auburn, ME",500
Saco,1019021,"Portland-Auburn, ME",500
Sanford,1019024,"Portland-Auburn, ME",500
Scarborough,1019026,"Portland-Auburn, ME",500
Sebago,1019030,"Portland-Auburn, ME",500
Shapleigh,1019033,"Portland-Auburn, ME",500
South Berwick,1019041,"Portland-Auburn, ME",500
South Bristol,1019042,"Portland-Auburn, ME",500
South China,1019043,"Portland-Auburn, ME",500
