Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type
1012873,Anchorage,"Anchorage,Alaska,United States",21132,US,City
1012874,Anderson,"Anderson,Alaska,United States",21132,US,City
1012875,Angoon,"Angoon,Alaska,United States",21132,US,City
1012876,Atqasuk,"Atqasuk,Alaska,United States",21132,US,City
1012877,Barrow,"Barrow,Alaska,United States",21132,US,City
1012878,Bethel,"Bethel,Alaska,United States",21132,US,City
1012879,Clear,"Clear,Alaska,United States",21132,US,City
1012880,Cordova,"Cordova,Alaska,United States",21132,US,City
1012881,Craig,"Craig,Alaska,United States",21132,US,City
1012882,Delta Junction,"Delta Junction,Alaska,United States",21132,US,City
1012883,Dillingham,"Dillingham,Alaska,United States",21132,US,City
1012884,Eagle River,"Eagle River,Alaska,United States",21132,US,City
1012885,Eielson AFB,"Eielson AFB,Alaska,United States",21132,US,City
1012886,Elmendorf Air Force Base,"Elmendorf Air Force Base,Alaska,United States",21132,US,City
1012887,Fairbanks,"Fairbanks,Alaska,United States",21132,US,City
1012888,Galena,"Galena,Alaska,United States",21132,US,City
1012890,Glennallen,"Glennallen,Alaska,United States",21132,US,City
1012891,Gustavus,"Gustavus,Alaska,United States",21132,US,City
1012892,Haines,"Haines,Alaska,United States",21132,US,City
1012893,Healy,"Healy,Alaska,United States",21132,US,City
1012894,Homer,"Homer,Alaska,United States",21132,US,City
1012895,Hoonah,"Hoonah,Alaska,United States",21132,US,City
1012896,Juneau,"Juneau,Alaska,United States",21132,US,City
1012897,Kenai,"Kenai,Alaska,United States",21132,US,City
1012898,Ketchikan,"Ketchikan,Alaska,United States",21132,US,City
1012899,Klawock,"Klawock,Alaska,United States",21132,US,City
1012900,Kodiak,"Kodiak,Alaska,United States",21132,US,City
1012901,Kotzebue,"Kotzebue,Alaska,United States",21132,US,City
1012902,McGrath,"McGrath,Alaska,United States",21132,US,City
1012903,Metlakatla,"Metlakatla,Alaska,United States",21132,US,City
1012904,Mountain Village,"Mountain Village,Alaska,United States",21132,US,City
1012905,Nikiski,"Nikiski,Alaska,United States",21132,US,City
1012906,Nome,"Nome,Alaska,United States",21132,US,City
1012907,North Pole,"North Pole,Alaska,United States",21132,US,City
1012908,Palmer,"Palmer,Alaska,United States",21132,US,City
1012909,Pelican,"Pelican,Alaska,United States",21132,US,City
1012910,Petersburg,"Petersburg,Alaska,United States",21132,US,City
1012911,Port Lions,"Port Lions,Alaska,United States",21132,US,City
1012912,Seward,"Seward,Alaska,United States",21132,US,City
1012913,Sitka,"Sitka,Alaska,United States",21132,US,City
1012914,Skagway,"Skagway,Alaska,United States",21132,US,City
1012915,Soldotna,"Soldotna,Alaska,United States",21132,US,City
1012917,Tanacross,"Tanacross,Alaska,United States",21132,US,City
1012918,Thorne Bay,"Thorne Bay,Alaska,United States",21132,US,City
1012919,Tok,"Tok,Alaska,United States",21132,US,City
1012920,Tununak,"Tununak,Alaska,United States",21132,US,City
1012921,Unalaska,"Unalaska,Alaska,United States",21132,US,City
1012922,Valdez,"Valdez,Alaska,United States",21132,US,City
1012923,Wasilla,"Wasilla,Alaska,United States",21132,US,City
1012924,Whittier,"Whittier,Alaska,United States",21132,US,City
1012925,Wrangell,"Wrangell,Alaska,United States",21132,US,City
1012926,Yakutat,"Yakutat,Alaska,United States",21132,US,City
1012927,Abbeville,"Abbeville,Alabama,United States",21133,US,City
1012928,Adamsville,"Adamsville,Alabama,United States",21133,US,City
1012929,Addison,"Addison,Alabama,United States",21133,US,City
1012930,Adger,"Adger,Alabama,United States",21133,US,City
1012931,Alabaster,"Alabaster,Alabama,United States",21133,US,City
1012932,Albertville,"Albertville,Alabama,United States",21133,US,City
1012933,Alexander City,"Alexander City,Alabama,United States",21133,US,City
1012934,Alexandria,"Alexandria,Alabama,United States",21133,US,City
1012935,Allgood,"Allgood,Alabama,United States",21133,US,City
1012936,Alpine,"Alpine,Alabama,United States",21133,US,City
1012937,Andalusia,"Andalusia,Alabama,United States",21133,US,City
1012938,Anniston,"Anniston,Alabama,United States",21133,US,City
1012939,Arab,"Arab,Alabama,United States",21133,US,City
1012940,Arlington,"Arlington,Alabama,United States",21133,US,City
1012941,Ashford,"Ashford,Alabama,United States",21133,US,City
1012942,Ashland,"Ashland,Alabama,United States",21133,US,City
1012943,Ashville,"Ashville,Alabama,United States",21133,US,City
1012944,Athens,"Athens,Alabama,United States",21133,US,City
1012945,Atmore,"Atmore,Alabama,United States",21133,US,City
1012946,Attalla,"Attalla,Alabama,United States",21133,US,City
1012947,Auburn,"Auburn,Alabama,United States",21133,US,City
1012949,Autaugaville,"Autaugaville,Alabama,United States",21133,US,City
1012950,Axis,"Axis,Alabama,United States",21133,US,City
1012951,Bay Minette,"Bay Minette,Alabama,United States",21133,US,City
1012952,Berry,"Berry,Alabama,United States",21133,US,City
1012953,Bessemer,"Bessemer,Alabama,United States",21133,US,City
1012954,Birmingham,"Birmingham,Alabama,United States",21133,US,City
1012955,Blountsville,"Blountsville,Alabama,United States",21133,US,City
1012956,Boaz,"Boaz,Alabama,United States",21133,US,City
1012957,Bremen,"Bremen,Alabama,United States",21133,US,City
1012958,Brewton,"Brewton,Alabama,United States",21133,US,City
1012959,Brookwood,"Brookwood,Alabama,United States",21133,US,City
1012960,Brownsboro,"Brownsboro,Alabama,United States",21133,US,City
1012961,Bucks,"Bucks,Alabama,United States",21133,US,City
1012962,Buhl,"Buhl,Alabama,United States",21133,US,City
1012963,Butler,"Butler,Alabama,United States",21133,US,City
1012964,Calera,"Calera,Alabama,United States",21133,US,City
1012965,Calhoun,"Calhoun,Alabama,United States",21133,US,County
1012966,Camden,"Camden,Alabama,United States",21133,US,City
1012967,Carrollton,"Carrollton,Alabama,United States",21133,US,City
1012968,Centre,"Centre,Alabama,United States",21133,US,City
1012969,Centreville,"Centreville,Alabama,United States",21133,US,City
1012970,Chapman,"Chapman,Alabama,United States",21133,US,City
1012971,Chelsea,"Chelsea,Alabama,United States",21133,US,City
1012972,Cherokee,"Cherokee,Alabama,United States",21133,US,City
1012973,Childersburg,"Childersburg,Alabama,United States",21133,US,City
1012974,Clanton,"Clanton,Alabama,United States",21133,US,City
1012975,Clayton,"Clayton,Alabama,United States",21133,US,City
1012976,Clio,"Clio,Alabama,United States",21133,US,City
1012977,Coffeeville,"Coffeeville,Alabama,United States",21133,US,City
1012978,Columbia,"Columbia,Alabama,United States",21133,US,City
1012979,Columbiana,"Columbiana,Alabama,United States",21133,US,City
1012980,Cottondale,"Cottondale,Alabama,United States",21133,US,City
1012981,Cottonwood,"Cottonwood,Alabama,United States",21133,US,City
1012982,Cowarts,"Cowarts,Alabama,United States",21133,US,City
1012983,Creola,"Creola,Alabama,United States",21133,US,City
1012984,Crossville,"Crossville,Alabama,United States",21133,US,City
1012985,Cullman,"Cullman,Alabama,United States",21133,US,City
1012986,Daleville,"Daleville,Alabama,United States",21133,US,City
1012987,Daphne,"Daphne,Alabama,United States",21133,US,City
1012988,Dauphin Island,"Dauphin Island,Alabama,United States",21133,US,City
1012989,Deatsville,"Deatsville,Alabama,United States",21133,US,City
1012990,Decatur,"Decatur,Alabama,United States",21133,US,City
1012991,Demopolis,"Demopolis,Alabama,United States",21133,US,City
1012992,Dixons Mills,"Dixons Mills,Alabama,United States",21133,US,City
1012993,Dothan,"Dothan,Alabama,United States",21133,US,City
1012994,Eastaboga,"Eastaboga,Alabama,United States",21133,US,City
1012995,Eclectic,"Eclectic,Alabama,United States",21133,US,City
1012996,Eight Mile,"Eight Mile,Alabama,United States",21133,US,City
1012997,Elba,"Elba,Alabama,United States",21133,US,City
1012998,Elberta,"Elberta,Alabama,United States",21133,US,City
1012999,Enterprise,"Enterprise,Alabama,United States",21133,US,City
1013000,Eufaula,"Eufaula,Alabama,United States",21133,US,City
