"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Awards","imdbRating","imdbID"
"Avatar",2009,"PG-13","18 Dec 2009",162,"Action, Adventure, Fantasy","James Cameron","James Cameron","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","Won 3 Oscars. Another 58 wins & 74 nominations.",7.9,"tt0499549"
"Pirates of the Caribbean: At World's End",2007,"PG-13","25 May 2007",169,"Action, Adventure, Fantasy","Gore Verbinski","Ted Elliott, Terry Rossio, Ted Elliott","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","Nominated for 2 Oscars. Another 18 wins & 28 nominations.",7.1,"tt0449088"
"The Dark Knight Rises",2012,"PG-13","20 Jul 2012",165,"Action, Crime, Thriller","Christopher Nolan","Jonathan Nolan","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Nominated for 1 BAFTA Film Award. Another 28 wins & 64 nominations.",8.6,"tt1345836"
"The Lone Ranger",2013,"PG-13","03 Jul 2013",149,"Action, Adventure, Western","Gore Verbinski","Justin Haythe","Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson","Nominated for 2 Oscars. Another 3 wins & 12 nominations.",6.6,"tt1210819"
"John Carter",2012,"PG-13","09 Mar 2012",132,"Action, Adventure, Fantasy","Andrew Stanton","Andrew Stanton","Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe","1 win & 4 nominations.",6.6,"tt0401729"
"Tangled",2010,"PG","24 Nov 2010",100,"Animation, Comedy, Family","Nathan Greno, Byron Howard","Dan Fogelman","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","Nominated for 1 Oscar. Another 4 wins & 24 nominations.",7.9,"tt0398286"
"Spider-Man 3",2007,"PG-13","04 May 2007",139,"Action, Adventure, Fantasy","Sam Raimi","Sam Raimi","Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church","Nominated for 1 BAFTA Film Award. Another 1 win & 26 nominations.",6.3,"tt0413300"
"The Hobbit: An Unexpected Journey",2012,"PG-13","14 Dec 2012",169,"Adventure, Fantasy","Peter Jackson","Fran Walsh","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","Nominated for 3 Oscars. Another 10 wins & 44 nominations.",8.1,"tt0903624"
"Harry Potter and the Half-Blood Prince",2009,"PG","15 Jul 2009",153,"Adventure, Family, Fantasy","David Yates","Steve Kloves","Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Gallacher","Nominated for 1 Oscar. Another 7 wins & 25 nominations.",7.5,"tt0417741"
"The Hobbit: The Desolation of Smaug",2013,"PG-13","13 Dec 2013",161,"Adventure, Fantasy","Peter Jackson","Fran Walsh","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","Nominated for 3 Oscars. Another 6 wins & 36 nominations.",8.1,"tt1170358"
"Pirates of the Caribbean: On Stranger Tides",2011,"PG-13","20 May 2011",136,"Action, Adventure, Fantasy","Rob Marshall","Ted Elliott","Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane","1 win & 23 nominations.",6.7,"tt1298650"
"Superman Returns",2006,"PG-13","28 Jun 2006",154,"Action, Adventure, Fantasy","Bryan Singer","Michael Dougherty","Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden","Nominated for 1 Oscar. Another 10 wins & 22 nominations.",6.2,"tt0348150"
"Quantum of Solace",2008,"PG-13","14 Nov 2008",106,"Action, Adventure, Crime","Marc Forster","Paul Haggis, Neal Purvis, Robert Wade","Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench","Nominated for 2 BAFTA Film Awards. Another 4 wins & 22 nominations.",6.7,"tt0830515"
"Pirates of the Caribbean: Dead Man's Chest",2006,"PG-13","07 Jul 2006",151,"Action, Adventure, Fantasy","Gore Verbinski","Ted Elliott, Terry Rossio, Ted Elliott","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","Won 1 Oscar. Another 33 wins & 37 nominations.",7.3,"tt0383574"
"Man of Steel",2013,"PG-13","14 Jun 2013",143,"Action, Adventure, Fantasy","Zack Snyder","David S. Goyer","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","5 wins & 15 nominations.",7.4,"tt0770828"
"The Chronicles of Narnia: Prince Caspian",2008,"PG","16 May 2008",150,"Action, Adventure, Family","Andrew Adamson","Andrew Adamson","Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley","2 wins & 18 nominations.",6.6,"tt0499448"
"The Amazing Spider-Man",2012,"PG-13","03 Jul 2012",136,"Action, Adventure, Fantasy","Marc Webb","James Vanderbilt","Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary","3 wins & 25 nominations.",7.2,"tt0948470"
"Men in Black 3",2012,"PG-13","25 May 2012",106,"Action, Comedy, Sci-Fi","Barry Sonnenfeld","Etan Cohen, Lowell Cunningham","Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement","1 win & 13 nominations.",6.9,"tt1409024"
"Transformers: Revenge of the Fallen",2009,"PG-13","24 Jun 2009",150,"Action, Adventure, Sci-Fi","Michael Bay","Ehren Kruger, Roberto Orci, Alex Kurtzman","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","Nominated for 1 Oscar. Another 6 wins & 19 nominations.",6,"tt1055369"
"X-Men: The Last Stand",2006,"PG-13","26 May 2006",104,"Action, Adventure, Sci-Fi","Brett Ratner","Simon Kinberg, Zak Penn","Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart","5 wins & 29 nominations.",6.8,"tt0376994"
