"Title","Year","budget_raw","big_money","earnings_ratio","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Adventure","Family","Biography","History","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","Sport","Documentary","Music","Animation","Musical","War","Western"
"(500) Days of Summer",2009,7500000,1,8.10709466666667,78684475.25,3.09224681925926,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102 Dalmatians",2000,8.5e+07,0,0.787547752941177,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12 Years a Slave",2013,2e+07,1,8.9183935,198192039,3.4319192664652,44297966.5,1.19879402758621,10781688,1.65872123076923,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127 Hours",2010,1.8e+07,1,3.37417944444444,197697031.714286,3.1706208877183,0,1,134821126.75,9.85787042803571,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1408",2007,22500000,1,5.83392755555556,53112854.75,2.02416998579193,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"15 Minutes",2001,4.2e+07,0,1.34123485714286,77387876.4,2.22225776511364,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"16 Blocks",2006,4.5e+07,0,1.4576698,70180167.5833333,1.83678776600781,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"17 Again",2009,4e+07,1,3.48687265,118609753.8,7.60733277190909,164675402,8.2337701,4777465,0.530829444444444,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2 Fast 2 Furious",2003,7.6e+07,1,3.10815865789474,58014823.125,1.93077105546311,191200000,2.12444444444444,67962330,1.90893539023541,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"2 Guns",2013,6.1e+07,1,2.17201663934426,155954571.78125,3.00615060537256,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"2012",2009,2e+08,1,3.942042695,87285650.4117647,2.48325069895301,278159725,2.7252778,385809725,3.20391416363636,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"2046",2004,1.2e+07,0,1.600238,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"21",2008,3.5e+07,1,4.51007234285714,82788735.1538462,0.96141799054392,15980376,0.9987735,104906878,4.01697831296296,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"21 Grams",2003,2e+07,1,2.98338125,76207358.3333333,2.5040319864899,20883834,10.441917,20883834,10.441917,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"25th Hour",2002,4500000,1,5.63210888888889,49381975.25,1.09577654578503,0,1,20305137.5,6.49141985,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"28 Days",2000,4.3e+07,0,1.44334818604651,0,1,257805243,5.15610486,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28 Days Later...",2002,8e+06,1,10.369454125,0,1,0,1,39778599,0.79557198,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"28 Weeks Later",2007,1.5e+07,1,4.28218093333333,70320496.25,1.37224991875,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"3:10 to Yuma",2007,4.8e+07,0,1.48274635416667,105116509.9,1.87156112834115,0,1,134945589,4.7039018885468,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30 Days of Night",2007,3e+07,1,2.67587186666667,100185397.514286,3.59920795295527,0,1,8267066,8.7021747368421,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"300",2006,6e+07,1,7.56936558333333,95357129.8571429,1.43446650894116,0,1,103452875,3.69474553571429,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"3000 Miles to Graceland",2001,6.2e+07,0,0.301755612903226,21089705,1.20254609826389,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"40 Days and 40 Nights",2002,1.7e+07,1,5.59368629411765,140022960.5,2.71785843612193,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2013,4e+07,1,2.375505325,169319823.8,1.75053799972973,169359950.75,2.54819959770616,100622586,2.45420941463415,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"47 Ronin",2013,1.75e+08,0,0.862642714285714,107142125.348624,2.76686202379032,472492257.666667,3.97795431858824,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"50 First Dates",2004,7.5e+07,1,2.61765994666667,309310112.769231,3.70104581586787,0,1,180984443.5,2.73690094047619,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50/50",2011,8e+06,1,5.166841875,182184045.6875,3.59036454595104,0,1,3330012,0.555002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51 Birch Street",2005,350000,0,0.241968571428571,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8 Mile",2002,4.1e+07,1,5.92497743902439,30208120.6666667,0.987792471420526,0,1,33422485,0.954928142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"88 Minutes",2007,3e+07,0,1.0985133,55301641,1.44721408009599,213710029,2.61630155116959,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"9",2009,3e+07,0,1.61866663333333,145459783.470588,1.89232358626049,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"A Beautiful Mind",2001,7.8e+07,1,4.07266741025641,77429841,1.81018306543707,0,1,345141403,2.80602766666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Better Life",2011,1e+07,0,0.1766372,0,1,0,1,320795103.25,5.79940284739386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Cinderella Story",2004,1.9e+07,1,3.68778468421053,47822800.2,2.609095768,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Dangerous Method",2011,2e+07,0,0.74037655,229492950.9375,3.17653597281795,0,1,39495642.3333333,1.06423559875,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A Good Day to Die Hard",2013,9.2e+07,1,3.3070565,109154755.625,2.16207941703609,106071844,2.54052987666396,59542233.6666667,1.45839528730159,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"A Good Year",2006,3.5e+07,0,1.20183157142857,207743885.6,2.42383465068712,75294136,2.68907628571429,296582130.75,3.03455199066031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Haunted House",2013,2500000,1,23.9690232,35318557.1666667,2.05804313472611,139463033.666667,6.24233642066277,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A History of Violence",2005,3.2e+07,0,1.92118115625,78107215.5,1.79173394232565,0,1,1641788,0.1641788,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"A Home at the End of the World",2004,6500000,0,0.159047692307692,0,1,97030468,3.88121872,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Knight's Tale",2001,4.1e+07,1,2.45420941463415,63933923.5,1.24204126931818,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A Lot Like Love",2005,2.5e+07,0,1.91343136,44843199.3478261,23.0432822475291,0,1,27786849,6.94671225,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Man Apart",2003,3.6e+07,0,1.21660363888889,79670068.1428571,2.68335068632243,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A Mighty Heart",2007,1.5e+07,0,1.26214113333333,67274564.1428571,1.63056766999178,0,1,2148919.66666667,0.335281935762483,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Mighty Wind",2003,6e+06,1,3.092118,0,1,20695413,3.4492355,20695413,3.4492355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A Perfect Getaway",2009,1.4e+07,0,1.62967571428571,87178796.721519,2.4651436131445,107212751,0.893439591666667,80197419.5,1.60285214365942,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"A Scanner Darkly",2006,2e+07,0,0.3702542,79894734.9047619,2.53645009992845,151429842.333333,1.71997384820261,11293790,5.646895,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"A Serious Man",2009,7e+06,1,4.33722428571429,0,1,119967081.166667,3.90575377278487,101134656.666667,3.0832765985414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Single Man",2009,7e+06,1,4.02033985714286,80444901.8421053,2.21365422234568,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Thousand Words",2012,4e+07,0,0.461253175,210400387.25,3.55273392609245,360514797.5,4.42413828193042,50048261.6666667,0.937241111111111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Very Long Engagement",2004,5.5e+07,0,1.08375612727273,3539188.25,1.103918825,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A Walk to Remember",2002,1.1e+07,1,4.18735590909091,0,1,0,1,94728529,3.38316175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abandon",2002,2.5e+07,0,0.48877468,52634714.6666667,2.09866308208333,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
