date,xbox,ps3,wii
9/2007,527800,119400,501000
10/2007,366000,121000,519000
11/2007,770000,466000,981000
12/2007,1260000,797600,1350000
1/2008,230000,269000,274000
2/2008,254600,280800,432000
3/2008,262000,257000,721000
4/2008,188000,187100,714200
5/2008,186600,208700,675100
6/2008,219000,405500,666700
7/2008,205000,225000,555000
8/2008,195200,185400,453000
9/2008,347200,232400,687000
10/2008,371000,190000,803000
11/2008,836000,378000,2040000
12/2008,1440000,726000,2150000
1/2009,309000,203200,679200
2/2009,391000,276000,753000
3/2009,330000,218000,601000
4/2009,175000,127000,340000
5/2009,175000,131100,289500
6/2009,240600,164700,361700
