date,xbox,ps3,wii
11/2006,511000,197000,476000
12/2006,1100000,490700,604200
1/2007,294000,244000,436000
2/2007,228000,127000,335000
3/2007,199000,130000,259000
4/2007,174000,82000,360000
5/2007,155000,82000,338000
6/2007,198400,98500,381800
7/2007,170000,159000,425000
8/2007,276700,130600,403600
9/2007,527800,119400,501000
10/2007,366000,121000,519000
11/2007,770000,466000,981000
12/2007,1260000,797600,1350000
1/2008,230000,269000,274000
2/2008,254600,280800,432000
3/2008,262000,257000,721000
4/2008,188000,187100,714200
5/2008,186600,208700,675100
6/2008,219000,405500,666700
7/2008,205000,225000,555000
8/2008,195200,185400,453000
9/2008,347200,232400,687000
10/2008,371000,190000,803000
11/2008,836000,378000,2040000
12/2008,1440000,726000,2150000
1/2009,309000,203200,679200
2/2009,391000,276000,753000
3/2009,330000,218000,601000
4/2009,175000,127000,340000
5/2009,175000,131100,289500
6/2009,240600,164700,361700
7/2009,202900,121800,252500
8/2009,215400,210000,277400
9/2009,352600,491800,462800
10/2009,249700,320600,506900
11/2009,819500,710400,1260000
12/2009,1310000,1360000,3810000
1/2010,332800,276900,465800
2/2010,422000,360100,397900
3/2010,338400,313900,557500
4/2010,185400,180800,277200
5/2010,194600,154500,334800
6/2010,451700,304800,422500
7/2010,443500,214500,253900
8/2010,356700,226000,244300
9/2010,484000,312000,254000
10/2010,325000,250000,232000
11/2010,1370000,530000,1270000
12/2010,1860000,1210000,2360000
1/2011,381000,267000,319000
2/2011,535200,402600,454900
3/2011,433000,365000,290000
4/2011,297000,204300,172000
5/2011,270000,177000,236000
6/2011,507000,276000,273000
7/2011,277000,148000,190000
8/2011,308000,218000,190000
9/2011,483000,374000,240000
10/2011,393000,250000,250000
11/2011,1700000,901000,860000
12/2011,1700000,936000,1060000
