WageRank,State,FemaleEarnings,MaleEarnings
1,DC,60116,66754
2,MD,49000,57447
2,NV,35941,42137
4,VT,38017,44776
5,NY,43000,51274
6,CA,41956,50139
7,FL,34202,40889
8,HI,38040,45748
9,ME,35057,42280
10,AZ,35974,43618
11,NC,34421,41859
12,GA,35479,43707
13,DE,41120,50689
14,RI,41074,50975
15,NM,33074,41211
16,CO,40402,50509
17,MN,40595,50885
18,MA,47651,60243
18,TX,35453,44802
20,OR,37381,47402
20,VA,41104,52125
22,IL,40309,51262
22,NJ,47878,60878
24,CT,47900,61097
25,WA,41062,52529
26,SD,31792,40721
27,WI,36535,46898
28,SC,32402,41740
29,IA,35106,45305
29,NE,33218,42878
29,TN,32398,41828
32,NH,41774,54136
33,OH,35984,46789
34,AR,30843,40153
35,MO,32868,42974
36,MT,31775,41656
37,KS,34131,44765
37,OK,31543,41415
39,KY,32157,42321
40,PA,37414,49330
41,MS,30287,40081
42,ID,31296,41664
43,AK,42345,57068
44,ND,33877,45888
45,MI,36772,49897
46,IN,33419,45620
47,AL,31674,44567
48,UT,34062,48540
49,WV,30885,44159
50,LA,31586,47249
51,WY,33152,51932
